English,Hindi
"L) Holder of a senior international office or function, if it prevents exercise of the parliamentary mandate, and employee of an international organisation or foreign state;",[Translation Failed]
M) President and vice ‐ President of the Economic and Social Council;,[Translation Failed]
N) Member of the Media Regulatory Body;,[Translation Failed]
"O) Member of the board of directors of a public ‐ sector company, of a company with public capital or in which the state holds a majority stake, or of an autonomous public Institute.",[Translation Failed]
2 – The provisions of subparagraph (h) of the previous paragraph do not encompass the exercise,[Translation Failed]
"Without charge of higher education teaching functions, research work and other similar activities",[Translation Failed]
That are of important social interest and are recognised as such on a case ‐ by ‐ case basis by the Ethics Committee of the Assembly of the Republic.,[Translation Failed]
3 – Without prejudice to the provisions of Article 4 (1) (a) and (2) and following implementation,[Translation Failed]
"Of the provisions of Article 21 (7), the exercise of an incompatible position or function shall imply the loss of the Member of the Assembly of the Republic's seat.",[Translation Failed]
Article 21 disqualifications,[Translation Failed]
"1 – Members of the Assembly of the Republic require the Assembly's authorisation in order to be jurors, expert witnesses or witnesses.",[Translation Failed]
2 – Members of the Assembly of the Republic require the Assembly's authorisation in order to serve as arbiters in proceedings in which the state or any other public ‐ law legal person is a party.,[Translation Failed]
3 – The authorisation referred to in paragraph (1) must be requested by the competent judge or,[Translation Failed]
"By the official responsible for the committal proceedings, in the form of a document addressed to the President of the Assembly of the Republic, and the Member in question shall be heard prior to the decision as to whether to grant the authorisation.",[Translation Failed]
"4 – Members of the Assembly of the Republic may exercise other activities, on condition that",[Translation Failed]
"They are not excluded by the provisions of the following paragraphs, and they must notify the constitutional Court of the nature and details thereof.",[Translation Failed]
5 – Without prejudice to the provisions of the regimes governing incompatibilities and,[Translation Failed]
"Disqualifications set out in special laws, particularly with regard to the exercise of positions or",[Translation Failed]
"Professional activities, the following situations shall also preclude the exercise of the mandate of Member of the Assembly of the Republic: 12",[Translation Failed]
"A) Holding a position as member of a corporate organ of a public legal person, or of a",[Translation Failed]
"Company whose capital is wholly or majority held by the public sector, or of a company that holds a public service concession, with the exception of a consultative, scientific or",[Translation Failed]
Pedagogical organ or one that forms part of the autonomous institutional,[Translation Failed]
Administration;,[Translation Failed]
B) Serving as a paid expert or arbiter in any proceedings in which the state or other,[Translation Failed]
Public ‐ law legal persons are a party;,[Translation Failed]
"C) Holding a government appointment, acceptance of which has not been authorised by",[Translation Failed]
The parliamentary committee with competence for the matter in question.,[Translation Failed]
"6 – Without prejudice to the provisions of special laws, Members of the Assembly of the Republic are also precluded from accumulating the following activities with that of Member:",[Translation Failed]
"A) In the case of the direct or indirect exercise of commercial or industrial activities, with a spouse from whom the Member of the Assembly of the Republic is not judicially",[Translation Failed]
"Separated from bed and board, or for or on his own behalf or that of an entity in which",[Translation Failed]
