English,German
"By the official responsible for the committal proceedings, in the form of a document addressed to the President of the Assembly of the Republic, and the Member in question shall be heard prior to the decision as to whether to grant the authorisation.","Von dem für das Verfahren zur Festnahme Verantwortlichen in Form eines Dokuments, das an den Präsidenten der Versammlung der Republik gerichtet ist, und das betroffene Mitglied soll vor der Entscheidung angehört werden, ob die Genehmigung erteilt wird."
"4 – Members of the Assembly of the Republic may exercise other activities, on condition that","4 - Mitglieder der Nationalversammlung können andere Tätigkeiten ausüben, unter der Bedingung, dass"
"They are not excluded by the provisions of the following paragraphs, and they must notify the constitutional Court of the nature and details thereof.","Sie werden nicht von den Bestimmungen der folgenden Absätze ausgeschlossen, und sie müssen dem Verfassungsgericht die Art und Einzelheiten davon mitteilen."
5 – Without prejudice to the provisions of the regimes governing incompatibilities and,5 - Unbeschadet der Bestimmungen der Regimes über Unvereinbarkeiten und
"Disqualifications set out in special laws, particularly with regard to the exercise of positions or","Ausschlussgründe, die in speziellen Gesetzen festgelegt sind, insbesondere in Bezug auf die Ausübung von Positionen oder"
"Professional activities, the following situations shall also preclude the exercise of the mandate of Member of the Assembly of the Republic: 12","Berufliche Tätigkeiten, die folgenden Situationen sollen auch das Ausüben des Mandats als Mitglied der Versammlung der Republik ausschließen: 12"
"A) Holding a position as member of a corporate organ of a public legal person, or of a",B) Ein Mitglied eines Unternehmensorgans einer öffentlichen juristischen Person oder eines
"Company whose capital is wholly or majority held by the public sector, or of a company that holds a public service concession, with the exception of a consultative, scientific or","Unternehmen, dessen Kapital vollständig oder mehrheitlich im Besitz des öffentlichen Sektors ist, oder eines Unternehmens, das eine öffentliche Dienstleistungskonzession innehat, mit Ausnahme eines beratenden, wissenschaftlichen oder"
Pedagogical organ or one that forms part of the autonomous institutional,"Pädagogisches Organ oder eines, das Teil der autonomen Institution ist"
Administration;,Verwaltung;
B) Serving as a paid expert or arbiter in any proceedings in which the state or other,"B) Als bezahlter Experte oder Schiedsrichter in allen Verfahren zu dienen, in denen der Staat oder andere beteiligt sind."
Public ‐ law legal persons are a party;,Öffentlich-rechtliche juristische Personen sind eine Partei.
"C) Holding a government appointment, acceptance of which has not been authorised by","C) Die Übernahme eines Regierungsamtes, dessen Annahme nicht genehmigt wurde."
The parliamentary committee with competence for the matter in question.,Der parlamentarische Ausschuss mit Zuständigkeit für die betreffende Angelegenheit.
"6 – Without prejudice to the provisions of special laws, Members of the Assembly of the Republic are also precluded from accumulating the following activities with that of Member:",6 - Unbeschadet der Bestimmungen spezieller Gesetze dürfen Mitglieder der Nationalversammlung auch nicht die folgenden Tätigkeiten mit der eines Mitglieds vereinbaren:
"A) In the case of the direct or indirect exercise of commercial or industrial activities, with a spouse from whom the Member of the Assembly of the Republic is not judicially","Im Falle der direkten oder indirekten Ausübung von Handels- oder Industrietätigkeiten mit einem Ehepartner, von dem das Mitglied der Nationalversammlung nicht gerichtlich ist."
"Separated from bed and board, or for or on his own behalf or that of an entity in which","Getrennt von Bett und Tisch, oder für oder im eigenen Namen oder im Namen einer Einheit, in der"
